INTEL_SOFTWARE_GUARD_EXTN_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEL_HYPER_THRD_TECH_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEGRATED_GRAPHICS_TURBO_FREQ,string,3,3.1,0,3.1,3.1,2.9,3,3,3.1
INTEGRATED_GRAPHICS_FREQUENCY,string,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3
INTEGRATED_GRAPHICS_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
INT_GFX_VIRTUAL_FUNCTION_SUPPO,string,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INSTR_EXTN_CD,string,"SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3"
INBAND_ERR_CRCT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ibdsIntegrationStatus,string,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete
IA_SVID_VR_OFFSET_VID,string,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32
HUB2PCD_D2D_FREQ,string,2,2,2,2,2,2,2,2,2
HUB2GPU_D2D_FREQ,string,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
HUB2CPU_D2D_FREQ,string,4.8,5.2,4.8,5.2,5.2,4.8,4.8,4.8,5.2
HUB_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100
HUB_DIE_TJMAX_DO_NOT_EXCEED,string,108,108,108,108,108,108,108,108,108
HUB_DIE_STEPPING,string,B0,B0,B0,B0,B0,B0,B0,B0,B0
HUB_DIE_CONFIG,string,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB
HSIO_LANE_24,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_23,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_22,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_21,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_20,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_19,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_18,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_17,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_16,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_15,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_14,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_13,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_12,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_11,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_10,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_09,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_08,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_07,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_06,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_05,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_04,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_03,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_02,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_01,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HIGH_BNDWDT_DGTL_CONTENT_PRTCT,string,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
HDCP_KEYTYPEID,string,1317,1317,1317,1317,1317,1317,1317,1317,1317
GSCODCA_KEYTYPEID,string,4634,4634,4634,4634,4634,4634,4634,4634,4636
grossWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GRAPHICS_TECH_FREQ_UNLOCK_IND,string,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
GRAPHICS_LFM_FREQUENCY,string,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1
GRAPHICS_DIE_STEPPING,string,B0,B0,B0,B0,B0,B0,B0,B0,B0
GRAPHICS_DIE_CONFIG,string,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32
GRAPHICS_DEVICE_ID,string,D740,D740,D740,D740,D740,D740,D740,D740,D740
GPU_L3_BANK_COUNT,string,4,4,4,4,4,4,4,4,4
GCD_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100
GCD_DIE_TJMAX_DO_NOT_EXCEED,string,108,108,108,108,108,108,108,108,108
GAUSSIAN_MIXTURE_MODEL,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
FUSA,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
FUNCTIONAL_SMALL_CORE,string,16,16,12,16,16,12,12,12,16
FUNCTIONAL_MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2
FUNCTIONAL_EXECUTION_UNIT_QTY,string,32,32,0,32,32,32,32,32,32
FUNCTIONAL_CORE,string,28,28,22,28,28,22,24,24,28
FUNCTIONAL_BIG_CORE,string,8,8,6,8,8,6,8,8,8
FORM_FACTOR_DIMENSION,string,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45,37.5X45
FORM_FACTOR_CODE,string,EAX,EAX,EAX,EAX,EAX,EAX,EAX,EAX,EAX
forecastPackage,string,AT,AT,AT,AT,AT,AT,AT,AT,AT
forecastName,string,807773B9B577F,807773B9B577B,807773B9B5780,807773B9B577B,807773B9B577B,807773B9B577F,807773B9B577C,807773B9B577C,807773B9B577B
FINISHED_GOOD_TYPE,string,Safe/Static PO,VST,VST,VST,VST,VST,VST,VST,VST_QS
fgTemplate,string,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales,Nova Lake-S;Default Engineering Plants;Default Engineering Sales
fgApproval,string,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved
FB_S0I2_ENABLE_FUSE,string,0,0,0,0,0,0,0,0,0
ETEMP_UOM,string,C,C,C,C,C,C,C,C,C
ETEMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESPI_DIVIDE_X_8_DEBUG_FEATURE,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESEODCACRT_KeyTypeID,string,0,4640,4640,4640,4640,4640,4640,4640,4642
ESEODCA_KEYTYPEID,string,0,4640,4640,4640,4640,4640,4640,4640,4642
ERR_CRCT_CODE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
environmentCompRollupCode,string,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM
ENDEBUG_KEYTYPEID,string,0,0,0,0,0,0,0,0,0
EDP,string,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DYNAMIC_SKUING_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,ENABLED
DISPLAY_VIRTUALIZATION,string,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_PIPE_IND,string,PIPE_A+B+C+D,PIPE_A+B+C+D,DISABLED,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D
DIE,string,8164,8164,8164,8164,8164,8164,8164,8164,8164
DDR5_FREQ,string,8000,8000,8000,8000,8000,8000,8000,8000,8000
D2D_KEYTYPEID,string,4580,4580,4580,4580,4580,4580,4580,4580,4580
CSMEODCA_KEYTYPEID,string,0,0,0,0,0,0,0,0,0
CPUID,string,300F15,300F15,300F15,300F15,300F15,300F15,300F15,300F15,300F15
CPU_TYPE_ENCODING,string,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_SUPERSKU,DESKTOP_VPRO
CPU_SPEED_IN_LOW_FREQ_MODE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
CPU_SPEED_IN_LOW_FREQ_MODE,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CPU_PCI_DEVICE_ID_DID0,string,D707,D707,D707,D707,D707,D707,D707,D707,D707
CPU_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100
CPU_DIE_TJMAX_DO_NOT_EXCEED,string,108,108,108,108,108,108,108,108,108
CPU_BRAND_STRING,string,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000
COPPER_POINT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
COMPUTE_DIE2_STEPPING,string,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE
COMPUTE_DIE2_CONFIG,string,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE,NODIE
COMPUTE_DIE_STEPPING,string,R0,R0,R0,R0,R0,R0,R0,R0,R0
COMPUTE_DIE_CONFIG,string,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P
COMMENTS,string,Q1'26.NVL-S.125W.6+12.MS2K,Q1'26.NVL-S.125W.8+16.P2K,Q1'26.NVL-S.125W.6+12.GT0.MS2KF,Q1'26.NVL-S.125W.8+16.P2K,Q1'26.NVL-S.125W.8+16.P2K,Q1'26.NVL-S.125W.6+12.MS2K,Q1'26.NVL-S.125W.8+12.P1K,Q1'26.NVL-S.125W.8+12.P1K,Q1'26.NVL-S.125W.8+16.P2K
clearImnIndicator,string,N,N,N,N,N,N,N,N,N
CACHE_QOS_ENFORCEMENT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
buildInLocation,string,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1"
BOOT_GUARD_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
BASE_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0
BASE_DIE_CONFIG,string,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C,BASE_S28C
BASE_CLOCK_MAX_MHZ_RATE,string,100,100,100,100,100,100,100,100,100
ANTI_MALWARE_BOOST_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ALL_CORE_TURBO_FREQ_SMALL_CORE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
ALL_CORE_TURBO_FREQ_SMALL_CORE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
ALL_CORE_TURBO_FREQ_RATE,string,5.2,5.4,5.2,5.4,5.2,5.2,5.3,5.2,5.2
AES_INSTR_SET_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ACE_SILICON_SKU_ID,string,0,0,0,0,0,0,0,0,0
LINE_ITEM_GROUP,string,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO,NVL_S28C_C0_PO
MAX_TEMP_TURBO_13CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
MAX_TEMP_TURBO_14CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
MAX_TEMP_TURBO_15CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
MAX_TEMP_TURBO_16CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
MAX_TEMP_TURBO_9CORE_FREQ_RATE_UOM,string,GHZ,,GHZ,,,GHZ,,,
FUNCTIONAL_E_CORE_AMOUNT,string,16,16,12,16,16,12,12,12,16
FUNCTIONAL_LP_E_CORE_AMOUNT,string,4,4,4,4,4,4,4,4,4
FUNCTIONAL_P_CORE_AMOUNT,string,8,8,6,8,8,6,8,8,8
PD_INDEX_CHK,string,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match
PD_INDEX_EDS,string,3,3,3,3,3,3,3,3,3
PRODUCT_NAME_SEGMENT,string,S,S,S,S,S,S,S,S,S
TDP_NOMINAL_BASE_POWER_TDP_PL1,string,125,125,125,125,125,125,125,125,125
VCC_LP_E_CORE_ICCMAX_RAW_PERF,string,,,,,,,,,
VCC_LP_E_CORE_LOAD_LINE_AC_PERF,string,,,,,,,,,
VCC_LP_E_CORE_LOAD_LINE_DC_PERF,string,,,,,,,,,
VCC_LP_E_CORE_PCODE_MAX_VID,string,,,,,,,,,
VCC_LP_E_CORE_RIPPLE_MAX,string,,,,,,,,,
VCC_LP_E_CORE_TOB,string,,,,,,,,,
VCC_PCORE_ICCMAX_RAW_PERF,string,403,403,403,403,403,403,403,403,403
VCC_PCORE_IPL2_TDC_PERF,string,162,162,162,162,162,162,162,162,162
VCC_PCORE_LOAD_LINE_AC_PERF,string,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
VCC_PCORE_LOAD_LINE_DC_PERF,string,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
VCC_PCORE_PCODE_MAX_VID,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_PL2_PERF,string,292,292,292,292,292,292,292,292,292
VCC_PCORE_PL4_PERF,string,,,,,,,,,
VCC_PCORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_PCORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_PCORE_VOLTAGE,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCCGT_ICCMAX_RAW_PERF,string,32,32,32,32,32,32,32,32,32
VCCGT_LOAD_LINE_AC_PERF,string,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0,0
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_ICCMAX_RAW_PERF,string,99,99,99,99,99,99,99,99,99
VCCSA_IPL2_TDC_PERF,string,50,50,50,50,50,50,50,50,50
VCCSA_LOAD_LINE_AC_PERF,string,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
VCCSA_LOAD_LINE_DC_PERF,string,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_VOLTAGE,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
IS_ENABLED,string,true,true,true,true,true,true,true,true,true
