LOWEST_CORE_SLEEP_STATE,string,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
LOW_POWER_DDR5_FREQ_RATE,string,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667
LINE_ITEM_NAME,string,[VST ES2] NVL-HX8124 QCLK 3200 D2D 4.0,[VST B0 PO] NVL-HX8164 32EU QCLK 3600,[VST B0 PO] NVL-HX484 32EU QCLK 3200,[VST B0 PO] NVL-HX8164 32EU QCLK 3200 D2D,ES2.NVL.MB.8+12.HX.QCLK_3600.D2D_4.4,[VST B0 PO] NVL-HX8164 32EU QCLK 3600 - OC Enabled,[VST B0 PO] NVL-HX8164 32EU QCLK 3200 - OC Enabled,[VST B0 PO] NVL-HX8164 32EU QCLK 3200,[VST B0 PO] NVL-HX8124 32EU QCLK 3600 - OC Enabled,[VST ES2] NVL-HX8164 QCLK 3600 D2D 4.4,ES2.NVL.MB.8+16.HX.QCLK_3600.D2D_4.4,[VST B0 PO] NVL-HX8124 32EU (GT-Low) QCLK 3200,[VST B0 PO] NVL-HX8124 32EU QCLK 3200 - OC Enabled,[VST B0 PO] NVL-HX8124 32EU (GT-Low) QCLK 3200 - OC Enabled,ES2.NVL.MB.8+16.HX.QCLK_3200.D2D_4.4,[VST ES2] NVL-HX8164 QCLK 3600 D2D 4.8,[VST B0 PO] NVL-HX8164 32EU QCLK 3600 D2D,[VST B0 PO] NVL-HX8124 32EU QCLK 3600,[VST B0 PO] NVL-HX8164 32EU QCLK 4000 - OC Enabled,[VST B0 PO] NVL-HX8124 32EU QCLK 3200,[VST B0 PO] NVL-HX8164 32EU - Pre-Silicon Safe,[VST ES2] NVL-HX8124 QCLK 3600 D2D 4.4,[VST B0 PO] NVL-HX8164 32EU QCLK 4000,ES2.NVL.MB.8+16.HX.QCLK_3600.D2D_4.8,[VST B0 PO] NVL-HX8164 32EU QCLK 3200 D2D - OC Enabled,ES2.NVL.MB.8+12.HX.QCLK_3200.D2D_4.0,[VST B0 PO] NVL-HX8164 32EU QCLK 3600 D2D - OC Enabled,"[VST B0 PO] NVL-HX8164 32EU - Static PO ",[VST ES2] NVL-HX8164 QCLK 3200 D2D 4.4
legacyNameIndicator,string,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
legacyItemCode,string,99CM81,99CM81,99CM81,99CM81,99DKL3,99CM81,99CM81,99CM81,99CM81,99CM81,99DKL2,99CM81,99CM81,99CM81,99DKL6,99CM81,99CM81,99CM81,99CM81,99CM81,99CM81,99CM81,99CM81,99DKL4,99CM81,99DKL5,99CM81,99CM81,99CM81
KEY_LOCKER_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
itemStatus,string,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
itemClass,string,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor,Central Processor
ISH_SX_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED
ISH_DID,string,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354,D354
IOE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTGR_HEAT_SPREADER_IND,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
INTERNAL_REV_STEP,string,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
INTEL_TURBO_BOOST_TECH_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTEL_TRST_EXEC_TECH_IND,string,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT,TXT
INTEL_SOFTWARE_GUARD_EXTN_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEL_HYPER_THRD_TECH_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
INTEGRATED_SENSOR_HUB,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INTEGRATED_GRAPHICS_TURBO_FREQ,string,2,2.4,1.8,2.4,2,2.4,2.4,2.4,2,2.3,2.3,1.8,2,1.8,2.3,2.4,2.4,2,2.8,2,2,2,2.8,2.4,2.4,2,2.4,2,2.3
INTEGRATED_GRAPHICS_FREQUENCY,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
INTEGRATED_GRAPHICS_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
INTEGRATED_CONNECTIVITY,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INT_GFX_VIRTUAL_FUNCTION_SUPPO,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
INSTR_EXTN_CD,string,"SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3","SSE,AVX+,AVX3"
INBAND_ERR_CRCT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ibdsIntegrationStatus,string,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete,Rev. 0 : Complete
IA_SVID_VR_OFFSET_VID,string,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32,0x32
HUB2PCD_D2D_FREQ,string,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
HUB2GPU_D2D_FREQ,string,4,4.4,4,4.8,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4,4.4,4,4.4,4.8,4.8,4.4,4.8,4.4,4.4,4.4,4.8,4.8,4.8,4,4.8,4.4,4.4
HUB2CPU_D2D_FREQ,string,4,4.4,4,4.8,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4,4.4,4,4.4,4.8,4.8,4.4,4.8,4.4,4.4,4.4,4.8,4.8,4.8,4,4.8,4.4,4.4
HUB_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HUB_DIE_TJMAX_DO_NOT_EXCEED,string,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
HUB_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
HUB_DIE_CONFIG,string,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB,NVL_HUB
HSIO_USB_VERSION,string,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G
HSIO_SATA_VERSION,string,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,NOT_AVAILABLE,N/A,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE
HSIO_LANE_26,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_25,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_24,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_23,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_22,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_21,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_20,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_19,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_18,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_17,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_16,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_15,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_14,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_13,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_12,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_11,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_10,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_09,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_08,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_07,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_06,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_05,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_04,string,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE,PCIE
HSIO_LANE_03,string,"GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE","GBE,PCIE"
HSIO_LANE_02,string,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G
HSIO_LANE_01,string,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G,USB3_10G
HIGH_BNDWDT_DGTL_CONTENT_PRTCT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED
HDCP_KEYTYPEID,string,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,0,1317,1317,1317,1317,1317,1317,0,1317
HAMMOCK_HARBOR_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
GSCODCA_KEYTYPEID,string,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,0,4634,4634,4634,4634,4634,4634,0,4634
grossWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GRAPHICS_TECH_FREQ_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED
GRAPHICS_LFM_FREQUENCY,string,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GRAPHICS_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
GRAPHICS_DIE_CONFIG,string,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32,PIXE3_S_32
GRAPHICS_DEVICE_ID,string,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743
GPU_L3_BANK_COUNT,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIGABIT_ETHERNET_DID,string,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9,57B9
GCD_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GCD_DIE_TJMAX_DO_NOT_EXCEED,string,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
GBE_CONTROLLER_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
GAUSSIAN_MIXTURE_MODEL,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
FUSA,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
FUNCTIONAL_SMALL_CORE,string,12,16,8,16,12,16,16,16,12,16,16,12,12,12,16,16,16,12,16,12,16,12,16,16,16,12,16,16,16
FUNCTIONAL_MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FUNCTIONAL_EXECUTION_UNIT_QTY,string,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
FUNCTIONAL_CORE,string,24,28,16,28,24,28,28,28,24,28,28,24,24,24,28,28,28,24,28,24,28,24,28,28,28,24,28,28,28
